GARE;Semaine;N67;Samedi;R6;Dimanche;R7
TESTELT;310;272;55;338;93;251
THEUX;109;448;70;308;63;310
THIEU;70;484;25;439;15;468
THUIN;228;321;47;364;65;306
THULIN;110;447;25;440;29;404
TIELEN;698;157;182;177;261;141
TIELT;1.003;118;357;114;388;110
TIENEN;4.157;41;1.492;43;1.314;44
TILFF;100;456;23;447;34;385
TILLY;209;336;34;396;37;378
TOLLEMBEEK;255;304;51;351;51;345
TONGEREN;679;160;240;146;242;147
TORHOUT;1.766;77;388;109;472;91
TOUR ET TAXIS/THURN EN TAXIS;102;453;51;352;33;386
TOURNAI;6.455;27;1.535;40;1.728;31
TROIS-PONTS;177;378;72;300;165;184
TROOZ;138;414;47;365;37;379
TUBIZE;2.482;58;1.042;50;1.122;51
TURNHOUT;1.642;81;708;76;1.130;50
UCCLE/UKKEL-CALEVOET;952;124;207;165;161;189
UCCLE/UKKEL-STALLE;299;281;134;218;80;277
VELTEM;384;248;59;328;74;289
VERTRIJK;472;217;119;233;152;194
VERVIERS-CENTRAL;3.769;44;2.528;24;2.594;20
VERVIERS-PALAIS;11;550;23;448;17;459
VEURNE;568;186;205;166;432;97
VIANE-MOERBEKE;454;224;81;290;63;311
VICHTE;217;329
VIELSALM;309;274;99;264;174;176
VIJFHUIZEN;35;525
VILLE-POMMEROEUL;27;536
VILLERS-LA-VILLE;267;298;85;284;51;346
VILVOORDE;5.848;31;2.175;29;1.656;34
VIRTON;385;247;68;309;149;197
VISE;642;166;477;92;365;116
VIVIER D’OIE/DIESDELLE;778;143;140;211;88;262
VIVILLE;25;539;8;493;5;494
VOROUX;48;512
WAARSCHOOT;213;334;109;248;56;329
WALCOURT;306;280;72;301;92;253
WAREGEM;2.508;56;1.023;52;1.197;48
WAREMME;1.994;66;437;98;417;103
WATERLOO;2.202;62;686;78;437;94
WATERMAEL/WATERMAAL;185;368;79;295;66;304
WAVRE;927;126;356;115;249;144
WEERDE;638;167;99;265;67;301
WELKENRAEDT;1.911;70;1.958;32;1.474;39
WELLE;194;356
WERVIK;599;176;284;129;285;132
WESPELAAR-TILDONK;467;218;124;228;109;230
WETTEREN;2.489;57;939;55;832;62
WEVELGEM;451;225;259;140;273;138
WEZEMAAL;784;142;276;131;214;156
WICHELEN;158;401
WIJGMAAL;506;201;140;212;102;239
WILDERT;204;346;130;220;102;240
WILLEBROEK;612;170;178;179;206;162
WOLFSTEE;49;510
WONDELGEM;177;379;66;314;37;380
YVES-GOMEZEE;49;511;17;473;8;490
YVOIR;502;206;228;154;223;153
ZANDBERGEN;208;338;51;353;42;365
ZAVENTEM;1.617;83;401;107;379;112
ZEDELGEM;592;178;146;206;167;182
ZEEBRUGGE-DORP;350;256
ZEEBRUGGE-STRAND;71;305;60;319
ZELE;792;140;223;156;224;152
ZELLIK;480;216;107;253;81;273
ZICHEM;279;291;66;315;71;295
ZINGEM;534;193;162;195;110;229
ZOLDER;125;432;40;383;50;348
ZONHOVEN;61;500;37;390;31;393
ZOTTEGEM;4.718;39;931;56;796;69
ZWIJNDRECHT;262;300;113;241;76;285
