Station Gare;Gem. instappende tijdens week Moy. montés en semaine;Gem. instappende op zaterdag Moy. montés le samedi;Gem. instappende op zondag Moy. montés le dimanche;
ST-MARTENS-BODEGEM 502;147;122
ST-NIKLAAS 7.995;4.057;4.226
ST-TRUIDEN 1.465;708;689
STATTE 518;1.625;1.389
STOCKEM 60;27;31
SY 91;52;67
TAMINES 1.698;519;352
TEMSE 577;278;299
TERHAGEN 290;50;45
TERNAT 865;328;291
TESTELT 234;73;67
THEUX 96;52;44
THIEU 116;33;29
THUIN 271;76;77
THULIN 113;50;46
TIELEN 498;36;51
TIELT 803;302;363
TIENEN 4.056;1.171;1.151
TILFF 203;62;68
TILLY 232;59;54
TOLLEMBEEK 338;144;103
TONGEREN 833;362;315
TORHOUT 1.681;575;592
TOUR ET TAXIS/THURN EN TAXIS 159;125;124
TOURNAI 6.428;2.073;2.447
TROIS-PONTS 246;258;198
TROOZ 162;53;35
TUBIZE 2.679;1.597;948
TURNHOUT 1.556;141;178
UCCLE/UKKEL-CALEVOET 978;336;119
UCCLE/UKKEL-STALLE 257;178;62
VELTEM 391;163;78
VERTRIJK 592;151;120
VERVIERS-CENTRAL 4.795;3.226;3.095
VERVIERS-PALAIS 59;24;22
VEURNE 415;249;449
VIANE-MOERBEKE 477;116;100
VICHTE 229;-;-
VIELSALM 335;130;225
VIJFHUIZEN 32;-;-
VILLE-POMMEROEUL 27;-;-
VILLERS-LA-VILLE 281;81;85
VILVOORDE 5.945;3.094;2.525
VIRTON 358;129;230
VISE 746;257;198
VIVIER D'OIE/DIESDELLE 454;82;89
VIVILLE 80;38;53
VOROUX 104;20;18
WAARSCHOOT 313;61;33
WALCOURT 257;144;194
WAREGEM 2.451;1.343;1.316
WAREMME 2.003;480;383
WATERLOO 1.958;576;293
WATERMAEL/WATERMAAL 308;206;193
WAVRE 1.081;658;553
WEERDE 647;266;227
WELKENRAEDT 1.971;1.126;1.145
WELLE 467;82;71
WERVIK 760;350;420
WESPELAAR-TILDONK 497;125;143
WETTEREN 2.712;808;666
WEVELGEM 533;380;432
WEZEMAAL 616;322;266
WICHELEN 246;90;84
WIJGMAAL 570;184;191
WILDERT 202;108;80
WILLEBROEK 526;387;328
WOLFSTEE 62;-;-
WONDELGEM 222;59;20
YVES-GOMEZEE 48;10;13
YVOIR 658;366;426
ZANDBERGEN 246;46;55
ZAVENTEM 1.677;907;585
ZEDELGEM 636;315;370
ZEEBRUGGE-DORP 353;-;-
ZEEBRUGGE-STRAND -;153;136
ZELE 808;299;234
ZELLIK 781;128;102
ZICHEM 260;96;94
ZINGEM 421;153;121
ZOLDER 93;66;61
ZONHOVEN 78;63;37
ZOTTEGEM 4.360;1.109;934
ZWIJNDRECHT 401;-;-
