Station Gare;Gem. instappende tijdens het week Moy. montés en semaine;Gem. instappende op zaterdag Moy. montés le samedi;Gem. instappende op zondag Moy. montés le dimanche
YVOIR;589;223;278
ZANDBERGEN;192;39;31
ZAVENTEM;1.290;390;277
ZEDELGEM;434;89;114
ZEEBRUGGE-DORP;232
ZEEBRUGGE-STRAND;25;32
ZELE;857;209;170
ZELLIK;388;25;30
ZICHEM;310;56;78
ZINGEM;400;56;50
ZOLDER;138;41;58
ZONHOVEN;59;21;21
ZOTTEGEM;6.211;786;747
ZWANKENDAMME;39;7;4
ZWIJNDRECHT;257;38;73
